Date,AMZN,BTC,NFLX
2014-06-16,327.619995,605.090027,61.465714
2014-06-17,325.619995,606.210022,63.378571
2014-06-18,334.380005,600.169983,64.097145
2014-06-19,327,590.75,63.055714
2014-06-20,324.200012,597.039978,62.882858
2014-06-23,327.23999,588.77002,62.78857
2014-06-24,324.160004,568.450012,62.337143
2014-06-25,327.440002,582.700012,63.458572
2014-06-26,325.690002,602.22998,62.80143
2014-06-27,324.570007,597.559998,63.154285
2014-06-30,324.779999,643.190002,62.942856
2014-07-01,332.390015,645.719971,67.585716
2014-07-02,332.850006,638.030029,66.677139
2014-07-03,337.48999,623.960022,67.478569
2014-07-07,333.549988,615.320007,65.802856
2014-07-08,323.809998,623,63.578571
2014-07-09,329.970001,618.390015,63.285713
2014-07-10,327.920013,632.900024,62.650002
2014-07-11,346.200012,635.900024,62.851429
2014-07-14,355.320007,619.599976,64.654289
2014-07-15,354.440002,614.799988,64.155716
2014-07-16,355.899994,626.580017,63.491428
2014-07-17,352.450012,627.469971,62.765713
2014-07-18,358.660004,627.039978,63.452858
2014-07-21,359.76001,622.530029,64.564285
2014-07-22,360.839996,621.690002,61.584286
2014-07-23,358.140015,601.869995,61.128571
2014-07-24,358.609985,600.5,60.76857
2014-07-25,324.01001,596,60.265713
2014-07-28,320.410004,585.77002,60.665714
2014-07-29,320,564.640015,60.611427
2014-07-30,322.51001,589.52002,62.05143
2014-07-31,312.98999,598.780029,60.388573
2014-08-01,307.059998,591.719971,60.771427
2014-08-04,313.649994,588.76001,60.385715
2014-08-05,312.320007,589.77002,60.407143
2014-08-06,313.890015,592.799988,61.471428
2014-08-07,311.450012,595.849976,64.238571
2014-08-08,316.799988,589.52002,63.692856
2014-08-11,318.329987,567.659973,64.505714
2014-08-12,319.320007,542.099976,63.772858
2014-08-13,326.279999,504.799988,64.504288
2014-08-14,333.209991,496.450012,64.410004
2014-08-15,333.630005,522.01001,65.584282
2014-08-18,334.529999,485.119995,66.571426
2014-08-19,335.130005,516.780029,66.878571
2014-08-20,335.779999,517.940002,67.455711
2014-08-21,332.910004,516.099976,67.435715
2014-08-22,331.589996,497.679993,68.455711
2014-08-25,334.019989,512.559998,68.704285
2014-08-26,341.829987,515.22998,68.480003
2014-08-27,343.179993,510.75,67.814285
2014-08-28,340.019989,512.559998,67.887146
2014-08-29,339.040009,505.959991,68.234283
2014-09-02,342.380005,480.040009,68.085716
2014-09-03,339,490.98999,68.19857
2014-09-04,345.950012,483.649994,67.524284
2014-09-05,346.380005,484.470001,67.954285
2014-09-08,342.339996,474.899994,68.475716
2014-09-09,329.75,479.700012,68.43
2014-09-10,331.329987,478.48999,69.19857
2014-09-11,330.519989,477.730011,68.794289
2014-09-12,331.190002,478.170013,68.078575
2014-09-15,323.890015,466.75,65.39286
2014-09-16,327.76001,461.089996,65.272858
2014-09-17,324,424.26001,64.932854
2014-09-18,325,397.670013,65.572861
2014-09-19,331.320007,411.529999,65.360001
2014-09-22,324.5,436.859985,63.254284
2014-09-23,323.630005,423.769989,63.414288
2014-09-24,328.209991,412.290009,64.365715
2014-09-25,321.929993,404.459991,63.355713
2014-09-26,323.209991,399.019989,64.10714
2014-09-29,321.820007,388.170013,64.222855
2014-09-30,322.440002,382.839996,64.454285
2014-10-01,317.459991,375.140015,62.685715
2014-10-02,318.410004,363.450012,64.28286
2014-10-03,322.73999,335.320007,65.648575
2014-10-06,322.200012,331.649994,66.211426
2014-10-07,316.980011,350.869995,65.178574
2014-10-08,322.700012,360.910004,66.694283
2014-10-09,315.369995,361.709991,65.945717
2014-10-10,311.390015,361.220001,64.582855
2014-10-13,306.450012,397.100006,62.654285
2014-10-14,308.309998,393.170013,64.160004
2014-10-15,305.970001,379.769989,64.084282
2014-10-16,302.859985,380.480011,51.671429
2014-10-17,303.640015,390.880005,51.012856
2014-10-20,306.209991,382.350006,51.317142
2014-10-21,315.329987,378.929993,52.284286
2014-10-22,312.970001,355.779999,53.521427
2014-10-23,313.179993,355.100006,54.720001
2014-10-24,287.059998,346.720001,55.002857
2014-10-27,289.970001,350.089996,54.200001
2014-10-28,295.589996,351.059998,55.174286
2014-10-29,294.119995,335.119995,54.014286
2014-10-30,299.070007,344.859985,54.144287
2014-10-31,305.459991,337.869995,56.110001
2014-11-03,305.720001,324.23999,55.487144
2014-11-04,302.809998,327.959991,54.682858
2014-11-05,296.519989,338.01001,54.34
2014-11-06,296.640015,347.670013,54.757141
2014-11-07,299.859985,341.869995,54.880001
2014-11-10,305.109985,367.149994,55.324287
2014-11-11,312.01001,365.420013,54.650002
2014-11-12,311.51001,432.029999,54.837143
2014-11-13,316.480011,428.720001,54.201427
2014-11-14,327.820007,396.529999,55.148571
2014-11-17,323.049988,384.690002,54.44857
2014-11-18,324.929993,379.160004,54.432858
2014-11-19,326.540009,381.429993,51.871429
2014-11-20,330.540009,357.299988,52.591427
2014-11-21,332.630005,351.769989,51.468571
2014-11-24,335.640015,378.850006,50.924286
2014-11-25,335.040009,376.429993,49.855713
2014-11-26,333.570007,365.350006,50.165714
2014-11-28,338.640015,377.589996,49.512856
2014-12-01,326,378.609985,48.830002
2014-12-02,326.309998,380.640015,50.330002
2014-12-03,316.5,376.959991,50.73143
2014-12-04,316.929993,369.839996,50.085712
2014-12-05,312.630005,377.630005,50.131428
2014-12-08,306.640015,364.950012,48.497143
2014-12-09,312.5,352.190002,49.111427
2014-12-10,305.839996,347.940002,47.759998
2014-12-11,307.359985,347.679993,47.804287
2014-12-12,307.320007,353.399994,47.782856
2014-12-15,306.070007,345.369995,46.720001
2014-12-16,295.059998,330.220001,45.205715
2014-12-17,298.880005,320.019989,47.664288
2014-12-18,297.730011,310.339996,47.774284
2014-12-19,299.899994,317.779999,48.58857
2014-12-22,306.540009,330.839996,48.097141
2014-12-23,306.290009,335.25,48.061428
2014-12-24,303.029999,322.399994,48.871429
2014-12-26,309.089996,329.980011,48.578571
2014-12-29,312.040009,314.119995,48.847141
2014-12-30,310.299988,311.269989,49.032856
2014-12-31,310.350006,318.23999,48.80143
2015-01-02,308.519989,315.209991,49.848572
2015-01-05,302.190002,274.839996,47.311428
2015-01-06,295.290009,282.269989,46.501427
2015-01-07,298.420013,291.339996,46.742859
2015-01-08,300.459991,282.690002,47.779999
2015-01-09,296.929993,287.970001,47.041428
2015-01-12,291.410004,269.329987,45.547142
2015-01-13,294.73999,221.289993,46.255714
2015-01-14,293.269989,164.919998,46.32
2015-01-15,286.950012,209.779999,46.251427
2015-01-16,290.73999,206.919998,48.191429
2015-01-20,289.440002,210.550003,49.828571
2015-01-21,297.25,228.169998,58.468571
2015-01-22,310.320007,232.699997,61.205715
2015-01-23,312.390015,232.169998,62.494286
2015-01-26,309.660004,269.179993,63.794285
2015-01-27,306.75,263.269989,64.881432
